available_moves_header: "[SELECT YOUR MOVES]"
hero_ending_1: "The hero has slain the villain! Hooray!"
boss_ending_1: "The boss has defeated the hero! Oh no!"
draw_ending_1: "The hero and the boss have defeated each other at the same time! It's a draw!"
escape_ending_1: "The hero escaped successfully! Well done!"
intro_text: "Intro text goes here!"
idle_hero_text: "The hero is calculating his moves..."
input_prompt: "Input your command here."
bad_input_error: "Incorrect input! Please try again!"
input_waiting: "The battle continues..."
game_ended: "The game is over"
